ECLSS,OGA,Hydrogen Sensor,8,17,26,34,43,52,60,69,78,86
,,Inlet Deionizing Bed,2,0,1,0,0,2,2,2,3,3
,,Nitrogen Purge ORU,2,1,0,1,0,1,1,0,1,1
,,Oxygen Outlet,2,1,1,0,1,1,1,1,0,1
,,Power Supply Module,3,1,1,1,1,2,3,4,4,5
,,Process Controller,2,1,1,0,1,1,1,0,1,2
,,Pump,2,4,6,8,10,13,15,17,19,21
,CDRA,Air Pump Two-Stage ORU,2,1,1,1,1,2,1,1,1,1
,,Blower,3,1,1,1,1,1,2,1,1,2
,,Check Valves,4,2,3,2,3,4,3,4,4,4
,,Dessicant Beds,4,2,2,2,3,3,3,3,4,4
,,Heat Controller,3,1,1,1,1,2,1,1,2,1
,,Precooler,3,1,1,1,1,1,2,1,1,2
,,Pump Fan Motor Controller,1,1,0,1,0,0,1,0,0,1
,,Selector Valves,5,3,4,3,5,5,5,6,6,7
,,Sorbent Beds (Zeolite),4,2,2,4,8,10,12,14,16,18
,CCAA (x6),Condensing Heat Exchanger,2,2,1,1,1,1,1,2,1,1
,,Electronic Interface Box (EIB),2,1,1,1,1,1,1,1,1,1
,,Fan Delta Pressure Sensor,2,1,1,1,1,1,1,1,1,1
,,Heat Exchanger Liquid Sensor,3,1,1,2,1,2,1,2,2,2
,,Inlet ORU,3,2,2,2,2,2,2,3,3,2
,,Pressure Transducer,2,1,1,1,1,1,1,4,6,6
,,Temperature Control Check Valve (TCCV),13,12,16,19,22,26,29,33,36,40
,,Temperature Sensor,1,1,0,0,1,0,0,1,0,0
,,Water Separator,6,5,5,8,24,24,36,36,36,48
,,Water Separator Liquid Sensor,3,1,1,2,1,2,1,2,2,2
,UPA,Distillation Assembly,2,1,3,4,5,6,7,8,9,10
,,Firmware Controller Assembly,3,2,2,1,2,5,6,7,8,9
,,Fluids Control and Pump Assembly,2,1,1,1,1,3,3,4,4,5
,,Pressure Control and Pump Assembly,2,1,3,4,5,6,7,8,9,10
,,Recycle Filter Tank Assembly,27,54,81,108,135,162,189,216,244,271
,,Separator Plumbing Assembly,2,4,6,8,10,13,15,17,19,21
,WPA,Catalytic Reactor,2,1,1,2,4,5,6,7,8,9
,,Gas Separator,2,4,6,8,10,13,15,17,19,21
,,Ion Exchange Bed,13,27,40,54,67,81,94,108,122,135
,,Microbial Check Valve,2,4,6,8,10,13,15,17,19,21
,,Multifiltration Bed #1,6,12,18,24,30,36,42,48,54,60
,,Multifiltration Bed #2,6,12,18,24,30,36,42,48,54,60
,,Particulate Filter,9,19,29,39,49,59,69,78,88,98
,,pH Adjuster,2,4,6,8,10,13,15,17,19,21
,,Process Controller,2,0,1,0,0,1,0,2,2,2
,,Pump Separator,2,1,3,4,5,6,7,8,9,10
,,Reactor Health Sensor,2,4,6,8,10,13,15,17,19,21
,,Sensor,1,1,0,1,0,0,1,0,1,2
,,Separator Filter,2,5,7,10,12,15,18,20,23,25
,,Start-up Filter,1,1,0,0,1,0,0,0,1,0
,,Water Delivery,2,0,1,0,1,2,3,3,3,4
,CRA,Sabatier Methanation Reactor,3,1,1,1,1,1,1,2,1,2
,,Condensing Heat Exchanger,1,1,0,0,0,1,0,0,0,1
,,Phase Separator,2,1,0,1,1,1,3,3,3,4
,,Valves,4,2,2,2,2,3,6,7,7,14
,,Sensors,2,1,0,1,0,1,1,0,1,1
,,Controller,2,1,1,0,1,1,1,0,1,2
,,Compressor,2,1,1,1,1,1,1,1,1,2
ISRU (Crew System),AP,Zeolite and Support Structure,3,1,2,1,2,2,2,2,2,2
,,Compressor,4,2,3,2,3,4,3,4,4,4
,,Cryocooler,2,1,1,0,1,1,1,1,1,1
,SP,Mixing Auger,2,0,1,0,1,1,0,1,0,1
,,Feed Cone,2,0,1,0,1,1,0,1,0,1
,,Hopper,,,,,,,,,,
,,Horizontal Feed Auger,2,0,1,0,1,1,0,1,0,1
,,Condensing Heat Exchanger,2,0,0,1,0,1,0,1,0,0
,,Oven Heater,2,1,1,1,0,1,1,1,1,1
ISRU (Pre-Deployed),AP,Zeolite and Support Structure,3,1,2,1,2,2,2,2,2,2
,,Compressor 1 (Mars to 1atm),4,2,3,2,3,4,3,4,4,4
,,Cryocooler,2,1,1,0,1,1,1,1,1,1
,SP,Mixing Auger,2,0,0,1,0,0,0,0,0,0
,,Feed Cone,2,0,0,1,0,0,0,0,0,0
,,Hopper,,,,,,,,,,
,,Horizontal Feed Auger,2,0,0,1,0,0,0,0,0,0
,,Condensing Heat Exchanger,2,0,0,0,0,0,1,0,0,0
,,Oven Heater,2,1,0,0,0,1,0,0,0,1
,,,,,,,,,,,,
,EVA,Batt,34,70,104,140,176,210,246,280,316,352
